id,c,v,w,interval,updated,state,match_mode,age,hit_count
12,2040.97,12.25,9.31,"(2036.315, 2045.625)",True,1,2,0,143
12,2053.22,12.25,9.31,"(2048.5649999999996, 2057.875)",True,1,2,0,144
12,2065.48,12.25,9.31,"(2060.825, 2070.135)",True,1,2,0,145
12,2077.73,12.25,9.31,"(2073.075, 2082.385)",True,1,2,0,146
12,2089.99,12.25,9.31,"(2085.3349999999996, 2094.645)",True,1,2,0,147
12,2102.24,12.25,9.31,"(2097.5849999999996, 2106.895)",True,1,2,0,148
12,2114.49,12.25,9.31,"(2109.8349999999996, 2119.145)",True,1,2,0,149
12,2126.75,12.25,9.31,"(2122.095, 2131.405)",True,1,2,0,150
12,2139.0,12.25,9.31,"(2134.345, 2143.655)",True,1,2,0,151
12,2151.26,12.25,9.31,"(2146.605, 2155.9150000000004)",True,1,2,0,152
12,2163.51,12.25,9.31,"(2158.855, 2168.1650000000004)",True,1,2,0,153
12,2175.76,12.25,9.31,"(2171.105, 2180.4150000000004)",True,1,2,0,154
12,2188.02,12.25,9.31,"(2183.365, 2192.675)",True,1,2,0,155
12,2200.27,12.25,9.31,"(2195.615, 2204.925)",True,1,2,0,156
12,2212.53,12.25,9.31,"(2207.875, 2217.1850000000004)",True,1,2,0,157
12,2224.78,12.25,9.31,"(2220.125, 2229.4350000000004)",True,1,2,0,158
12,2237.04,12.25,9.31,"(2232.3849999999998, 2241.695)",True,1,2,0,159
12,2249.29,12.25,9.31,"(2244.6349999999998, 2253.945)",True,1,2,0,160
12,2261.54,12.25,9.31,"(2256.8849999999998, 2266.195)",True,1,2,0,161
12,2273.8,12.25,9.31,"(2269.145, 2278.4550000000004)",True,1,2,0,162
12,2286.05,12.25,9.31,"(2281.395, 2290.7050000000004)",True,1,2,0,163
12,2298.31,12.25,9.31,"(2293.6549999999997, 2302.965)",True,1,2,0,164
12,2309.66,11.92,8.89,"(2305.2149999999997, 2314.105)",True,1,2,0,165
12,2321.58,11.92,8.89,"(2317.1349999999998, 2326.025)",True,1,2,0,166
12,2333.5,11.92,8.89,"(2329.055, 2337.945)",True,1,2,0,167
12,2345.41,11.92,8.89,"(2340.9649999999997, 2349.855)",True,1,2,0,168
12,2357.33,11.92,8.89,"(2352.8849999999998, 2361.775)",True,1,2,0,169
12,2369.24,11.92,8.89,"(2364.7949999999996, 2373.685)",True,1,2,0,170
12,2381.16,11.92,8.89,"(2376.7149999999997, 2385.605)",True,1,2,0,171
12,2393.08,11.92,8.89,"(2388.6349999999998, 2397.525)",True,1,2,0,172
12,2404.99,11.92,8.89,"(2400.5449999999996, 2409.435)",True,1,2,0,173
12,2416.91,11.92,8.89,"(2412.4649999999997, 2421.355)",True,1,2,0,174
12,2428.83,11.92,8.89,"(2424.3849999999998, 2433.275)",True,1,2,0,175
12,2440.74,11.92,8.89,"(2436.2949999999996, 2445.185)",True,1,2,0,176
12,2452.66,11.92,8.89,"(2448.2149999999997, 2457.105)",True,1,2,0,177
12,2464.57,11.92,8.89,"(2460.125, 2469.0150000000003)",True,1,2,0,178
12,2476.49,11.92,8.89,"(2472.0449999999996, 2480.935)",True,1,2,0,179
12,2488.41,11.92,8.89,"(2483.9649999999997, 2492.855)",False,1,2,1,179
12,2488.41,11.92,8.89,"(2483.9649999999997, 2492.855)",True,1,2,0,180
